AeroDyn airfoil file Created with QBlade v0.8 on 29.03.2015 at 18:06:58 Compatible with AeroDyn v13.0.
Polar "T1_Re0.080_M0.00_N9.0" on Foil "NACA 4520" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
40.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
5.34352        Cn slope for zero lift for linear Cn curve (1/rad)
0.9388         Cn at stall value for positive angle of attack for linear Cn curve
0.1315         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0422         Minimum CD value
      0.00    0.1315    0.0422
      0.50    0.1527    0.0436
      1.00    0.2311    0.0427
      2.00    0.3076    0.0432
      3.00    0.4475    0.0447
      4.00    0.5450    0.0467
      5.00    0.6372    0.0488
      6.00    0.7230    0.0512
      9.50    0.9410    0.0652
     12.50    0.8155    0.1198
     13.00    0.9090    0.1130
     15.00    0.8251    0.1565
     15.50    0.8993    0.1517
     16.00    0.8282    0.1728
     16.50    0.9253    0.1629
     17.00    0.8443    0.1895
     17.50    0.8539    0.1988
     18.00    0.8805    0.2190
     18.50    0.8298    0.2212
     19.00    0.8702    0.2273
     19.50    0.8650    0.2342
     20.00    0.8790    0.2388
     20.50    0.9266    0.2516
     21.00    0.9035    0.2513
     21.50    0.9361    0.2582
     22.00    0.9566    0.2703
     22.50    0.9484    0.2697
     23.00    0.9753    0.2771
     23.50    0.9913    0.2877
     24.00    0.9931    0.2886
     24.50    1.0216    0.2977
     25.00    1.0336    0.3080
     25.50    1.0321    0.3089
     26.00    1.0515    0.3154
     27.00    1.0721    0.3292
     27.50    1.0876    0.3353
     28.00    1.1098    0.3445
     28.50    1.1270    0.3593
     29.00    1.1227    0.3569
     29.50    1.1361    0.3634
     30.00    1.1526    0.3707
     31.00    1.1705    0.3852
     31.50    1.1814    0.3917
     32.00    1.1948    0.3983
     32.50    1.2120    0.4096
     33.00    1.2229    0.4229
     33.50    1.2233    0.4212
     34.00    1.2329    0.4281
     34.50    1.2434    0.4348
     35.00    1.2548    0.4421
     35.50    1.2715    0.4620
     36.00    1.2707    0.4590
     36.50    1.2773    0.4646
     37.00    1.2856    0.4716
     37.50    1.2942    0.4783
     38.00    1.3037    0.4869
     39.00    1.3161    0.5061
     39.50    1.3203    0.5093
     40.00    1.3262    0.5165
    180.00    0.1315    0.0422
